# Null-Hypothese: '0'=Füller, AENzKM[NAM

 608. PHILIPSIPP                 score=0.13130
 609. PHILIPRIPP                 score=0.13130
 610. PHILIPNIPP                 score=0.13130
 611. PHILIPLIPP                 score=0.13130
 612. PHILIPKIPP                 score=0.13130
 613. PHILIPHIPP                 score=0.13130
 614. PHILIPGIPP                 score=0.13130
 615. LOUISSAULS                 score=0.13023
 616. LOUIS YULE                 score=0.13023
 617. LOUIS WULF                 score=0.13023
 618. LOUIS TULL                 score=0.13023
 619. LOUIS TULK                 score=0.13023
 620. LOUIS SULT                 score=0.13023
 621. LOUIS SULE                 score=0.13023
 622. LOUIS SULC                 score=0.13023
 623. LOUIS RULL                 score=0.13023
 624. LOUIS RULE                 score=0.13023
 625. LOUIS PULS                 score=0.13023
 626. LOUIS PULK                 score=0.13023
 627. LOUIS NULL                 score=0.13023
 628. LOUIS MULL                 score=0.13023
 629. LOUIS MULE                 score=0.13023
 630. LOUIS MULA                 score=0.13023
 631. LOUIS LULL                 score=0.13023
 632. LOUIS LULE                 score=0.13023
 633. LOUIS KULP                 score=0.13023
 634. LOUIS KULL                 score=0.13023
 635. LOUIS KULA                 score=0.13023
 636. LOUIS JULY                 score=0.13023
 637. LOUIS IULO                 score=0.13023
 638. LOUIS HULT                 score=0.13023
 639. LOUIS HULS                 score=0.13023
 640. LOUIS HULM                 score=0.13023
 641. LOUIS HULL                 score=0.13023
 642. LOUIS GULL                 score=0.13023
 643. LOUIS GULA                 score=0.13023
 644. LOUIS FULS                 score=0.13023
 645. LOUIS FULP                 score=0.13023
 646. LOUIS FULK                 score=0.13023
 647. LOUIS EULL                 score=0.13023
 648. LOUIS DULL                 score=0.13023
 649. LOUIS DULA                 score=0.13023
 650. LOUIS CULP                 score=0.13023
 651. LOUIS CULL                 score=0.13023
 652. LOUIS BULT                 score=0.13023
 653. LOUIS BULL                 score=0.13023
 654. LOUIS BULA                 score=0.13023
 655. LOUIS AULT                 score=0.13023
 656. LOUIS AULS                 score=0.13023
 657. LOUIS AULL                 score=0.13023
 658. LOUIS AULD                 score=0.13023
 659. NORMA ORNE                 score=0.12956
 660. NORMA HRNA                 score=0.12956
 661. NORMA ERNO                 score=0.12956
 662. NORMA ERNE                 score=0.12956
 663. NORMA ARNT                 score=0.12956
 664. NORMA ARNS                 score=0.12956
 665. NORMA ARNO                 score=0.12956
 666. NORMA ARNN                 score=0.12956
 667. NORMA ARNE                 score=0.12956
 668. TODDWENDTE                 score=0.12770
 669. CRAIGKWACK                 score=0.12750
 670. CRAIGKRACK                 score=0.12750
 671. CRAIGKNACK                 score=0.12750
 672. CRAIG ZACK                 score=0.12750
 673. CRAIG ZACH                 score=0.12750
 674. CRAIG YACH                 score=0.12750
 675. CRAIG WACK                 score=0.12750
 676. CRAIG WACH                 score=0.12750
 677. CRAIG VACI                 score=0.12750
 678. CRAIG VACA                 score=0.12750
 679. CRAIG TACY                 score=0.12750
 680. CRAIG TACK                 score=0.12750
 681. CRAIG SACK                 score=0.12750
 682. CRAIG RACZ                 score=0.12750
 683. CRAIG RACO                 score=0.12750
 684. CRAIG RACK                 score=0.12750
 685. CRAIG RACH                 score=0.12750
 686. CRAIG RACE                 score=0.12750
 687. CRAIG PACO                 score=0.12750
 688. CRAIG PACK                 score=0.12750
 689. CRAIG PACI                 score=0.12750
 690. CRAIG PACH                 score=0.12750
 691. CRAIG PACE                 score=0.12750
 692. CRAIG NACY                 score=0.12750
 693. CRAIG NACK                 score=0.12750
